ROADIE	Band hand
RUSSETS	Dessert apples
RUSSIA	Largest country
RUST	Red coat?
RUSTLE	Take stock?
RUT	Monotonous practice
RYES	Hardy grains
SAAB	Born From Jets car company
SAAS	Long stories
SABER	Foil's cousin
SABOTS	Wooden shoes
SABU	Elephant Boy star
SAC	Bomber plane org. from 1946 to 1992
SAC	Kin of the Fox
SACHET	Drawer scent
SACRIST	Cathedral worker
SAD	Blue
SAD	Down
SAD	Pathetic
SADA	Tony and Emmy winner Thompson
SADAT	1978 Camp David visitor
SADAT	1978 visitor to Camp David
SADAT	Camp David Accords signer
SADDLES	Tack components
SADLY	Alas...
SAE	Aromatic mint
SAFE	Ump's call
SAFEDEPOSITB	Bank offering
SAFEST	Least speculative
SAG	Sofa problem
SAGA	Big account
SAGA	It's a long story
SAGA	It's a long story
SAGAMORE	___ Hill (Teddy Roosevelt's Long Island home)
SAGAS	They span many generations
SAGE	Stuffing herb
SAGE	Stuffing seasoning
SAGO	Starchy food obtained from palms
SAHIB	Master, in Madras
SAHL	Wit of the JFK era
SAIDIDO	Tied the knot
SAIL	Mayflower mover
SAIL	Travel the briny
SAINT	Pious person
SAJAK	Man at the wheel
SAJAK	Man at the wheel
SAKE	Welfare
SAKES	Benefits
SAKS	Neighbor of New York's St. Patrick's
SAKS	Store across from Rockefeller Center
SAL	Baseball's Bando
SAL	Boxer Bartolo
SAL	Mule of song
SALAAM	Respectful greeting
SALAD	Dressing site
SALAD	Leaves on one's plate
SALADBAR	Self-service restaurant area
SALAT	Five-times-a-day Islamic prayer
SALD	Menu choice
SALE	Pitcher's triumph
SALE	Shopaholic's delight
SALEM	Capital on the Willamette
SALISH	Endangered language of Northwest tribes
SALLY	Ride in the space shuttle
SALONWORKER	Online magazine editor?
SALVOS	Verbal attacks
SAMBA	Dance to a syncopated rhythm
SAMEDAY	Dry cleaner's promise
SAMOANS	Mead subjects
SAMOANS	Some Mead interviewees
SAMPANS	Yangtze River sights
SAN	Honshu honorific
SAN	Honshu honorific
SAN	Introduction to Juan?
SAND	Trap fill
SANDS	Beach blankets?
SANDS	Hotel at which Sinatra recorded a 1966 album
SANE	Rational
SANE	Stable
SANEST	Most reasonable
SANG	Spilled the beans
SANS	In need of
SANS	Lacking
SANTAANA	Hot wind
SAO	___ Paulo
SAP	Easy mark
SAPLING	Arbor Day planting
SAPPED	Wiped out
SAPPIEST	Most mawkish
SAPSAGO	Green cheese from Switzerland
SARA	1986 #1 hit for Starship
SARAH	Singer McLachlan
SARALEE	The joy of eating brand
SARALEE	Brand "nobody doesn't like"
SAS	Carrier to Copenhagen
SASE	Ed.'s request
SASHA	Olympic skater Cohen
SAT	Joined the jury
SAT	Joined the table
SATES	Fills
SATIATE	Fill
SATIE	Three Pieces in the Shape of a Pear composer
SATIN	Paint finish
SATINSHEETS	Present for a sensuous sleeper
SATO	Nobel-winning Japanese prime minister
SATORI	Zen enlightenment
SATYRS	Pan's companions
SAUCE	Zest provider
SAUDI	Riyadh resident
SAUDI	Riyadh resident
SAVE	Prepare for retirement
SAVESTIME	Is efficient, in a way
SAVESUP	Socks money away
SAVETIME	Be more efficient, in a way
SAWDUST	Shop waste
SAWHORSE	Board supporter
SAWTO	Managed
SAX	Combo member, maybe
SAXES	Jazz combo staples
SAY	Two cents
SAYHEY	Willie Mays catchphrase
SAYONARA	Sapporo send-off
SAYSO	Authority
SAYSSO	States as fact
SAYSWHO	Skeptical reply to a supposed fact
SCALAR	Having magnitude but not direction
SCALIA	Supreme Court justice since 1986
SCALPELS	OR hardware
SCAM	Hustle
SCAMPI	Shrimp lover's treat
SCAN	MRI reading
SCAN	Read in
SCARAB	Hieroglyphic beetle
SCAREDYART	Munch's "The Scream" and the like?
SCARES	False alarms
SCARETICTACS	Cause tiny mints to run away?
SCARLET	Like an A in literature
SCENE	Public spectacle
SCENEONE	Opening on Broadway
SCENES	Embarrassing outbursts
SCENT	Bouquet
SCENTS	Dogs follow them
SCH	Acad., e.g.
SCH	PTA meeting place
SCH	PTA meeting place
SCHERZI	Playful compositions
SCHNABEL	Painter/director Julian
SCI	MIT study
SCIS	Part of AMPAS
SCOOTIN	Slide over on the pew
SCOPEOUT	Study
SCORE	Ballpark figure
SCOREONSERVE	Ace*
SCOT	Andrew Carnegie, for one
SCOT	Inverness inhabitant
SCOTIAN	Nova ___ (Halifax native)
SCOTTS	Turf Builder seller
SCOW	It's full of garbage
SCRAM	Beat it!
SCRAPE	Tight corner
SCREWING	Fouling (up)
SCREWS	Pressure, metaphorically
SCTV	Comedy show letters
SCTV	Series featuring Andrea Martin and John Candy
SCTV	Series featuring Rick Moranis and Dave Thomas
SDI	Reagan pet project: Abbr.
SDI	Reagan's "Star Wars" prog.
SDS	Campus org. of the 1960s
SEA	Neptune's domain
SEA	See 38-Down
SEABEE	Base builder
SEABIRDS	Noddies and boobies
SEAEEL	Sargasso denizen
SEAGAL	Under Siege star
SEALAB	Aquanaut's workplace
SEALANT	Weatherproofing stuff
SEALEDBID	Procurement submission
SEAMEN	Salts
SEANS	Combs and Connery
SEAOF	___ Love (1984 hit for the Honeydrippers)
SEAPLANES	Transportation between some Alaskan cities
SEAR	Prepare tuna
SEARED	Browned quickly
SEATO	Alliance dissolved in 1977
SEATTLEMARINER	Ichiro Suzuki, e.g.
SEAVIEW	Selling point of many vacation homes
SEAWAR	Armada activity
SEBUM	Blackhead fill
SEC	Wall St. watchdog
SECS	Jiffies
SECT	Chip off the old bloc?
SECT	Little faith?
SECT	Shakers, e.g.
SECTION	Stadium ticket info
SECTS	Faith-based groups
SEDAKA	Brill Building songwriter
SEDANS	Lot choices
SEDATES	Knocks out
SEDONA	Arizona city famed for its red rocks
SEE	I told you!
SEE	What did I tell you?
SEE	Call at the casino
SEE	View
SEEABLE	On view
SEED	Provide with start-up money
SEED	Tournament placement
SEED	Tourney placement
SEEIT	Now you ___,...
SEEP	Ooze
SEES	Makes out
SEES	Takes in
SEESOUT	Shows to the door
SEESTARS	Suffer from a bop on the noggin
SEETHRU	Sheer, for short
SEETO	Take care of
SEEYA	Toodle-oo!
SEGA	Sonic the Hedgehog's creator
SEGA	Super Monkey Ball producer
SEINE	Paris divider
SELA	Ward of "Once and Again"
SELECT	First-rate
SELES	Two-time U.S. Open champ
SELF	Egotist's concern
SELF	Option under "employer" on forms
SELF	Target of some notes
SELFMOTIVATORS	Women's health magazine editors?
SELIG	Baseball commissioner Bud
SELLOFFS	Herd instinct actions
SELMA	Site of 1965 demonstrations
SELTZER	Fizzy drink
SEM	Coll. for clergymen
SEM	Theologian's sch.
SEM	Theology inst.
SEMI	Cargo carrier
SEMINAR	Job skills sharpener
SEMIS	Tourney round
SEN	Clinton or Obama: Abbr.
SENATE	House mate
SENATOR	Hill worker
SEND	Thrill, so to speak
SENDIN	Take off the bench
SENHOR	Mister, in Rio
SENSE	Intuit
SENSES	Picker-uppers?
SENSORS	Electric eyes, e.g.
SENTINEL	Orlando paper
SENTRA	Civic competitor
SENTRA	Civic rival
SEOUL	1988 Olympics setting
SEP	Autumnal equinox mo.
SEPAL	Calyx component
SEPTA	Nasal membranes
SEPTIC	Bacteria-ridden
SER	Address from a rev.
SER	Savings bond abbr.
SER	Sun. delivery
SERAPE	Vaquero garment
SERB	Balkan native
SERENADE	Swain song
SERENE	Composed
SERIES	It's just one thing after another
SERPENT	Genesis villain
SERUM	It's in your blood
SES	Le coeur a ___ raisons...: Pascal
SESAME	Cracker seed
SET	Decided upon
SETA	Bristly plant part
SETA	___ precedent
SETAE	Bristles
SETFEE	Fixed charge
SETONS	Author Anya and others
SETS	Match makeup
SETTO	Brawl
SETTO	Rhubarb
SETUPON	Attack
SEURATS	Some Musée d'Orsay holdings
SEVENUP	2001 Janet Evanovich book
SEVERED	Cut off
SEW	Attach a patch
SEW	Make like Ross
SEW	Put in stitches
SEWED	Gave a darn?
SEWONS	Some patches
SEWS	Gives a darn?
SEX	It sells, they say
SEXIST	Discriminatory, in a way
SEXY	Hot
SEZ	___ you!
SFPD	Dirty Harry's org.
SGT	Friday on television: Abbr.
SHADE	Awning offering
SHADOWS	Lurking place
SHAFTED	Treated unfairly
SHAG	Layered haircut
SHAKE	Soda fountain order
SHALOM	Peace in Israel
SHAM	Prado handbag, e.g.
SHAME	Indignity
SHAMU	SeaWorld performer
SHAMUS	Gumshoe
SHARK	James Woods TV series
SHARP	Pitched too high
SHARPEI	Wrinkly dog
SHAVER	Lad
SHE	1994 Harry Connick Jr. album
SHE	Sow or cow
SHE	Yonder yacht
SHEA	Ballpark being retired after the 2008 season
SHEARS	Hedge cuttters
SHEBA	Wealthy biblical kingdom
SHEDS	Loses
SHEEN	Cryer's sitcom co-star
SHEERER	Even more see-through
SHEL	Author Silverstein
SHEL	Writer/illustrator Silverstein
SHELF	Volume setting?
SHELL	It covers your nut
SHELTERS	Protects
SHERIFFS	Booking agents?
SHERRYMAGUIRE	Movie about a female sports agent
SHES	___ Funny That Way (1928 song)
SHIA	LaBeouf of "Transformers"
SHINS	Targets of some kicks
SHINTO	Worship of spirits known as "kami"
SHIP	Use UPS
SHIPS	Uses UPS
SHIRE	English division
SHIRE	Hobbit's home
SHLEPP	Haul with effort
SHM	Al Capp creature
SHOD	Like racehorses
SHOO	Amscray!
SHOP	Alternative to home ec
SHOTPUTS	Field events
SHOTTHESHERIFF	I ___ (tune for Butch Cassidy?)
SHOULD	Has an obligation to
SHOW	Gallery event
SHOWERWITHPRAISE	Solve a problem of lack of confidence
SHOWMETREASURE	Pirate's demand?
SHR	Stock unit: Abbr.
SHREDS	Removes the paper trail
SHRUG	Indication of indifference
SHRUGS	Signs of indifference
SHUL	Rebbe's building
SHUN	Turn one's back on
SHUNNERS	Blackballers
SHY	Far from forward
SIAM	Musical kingdom
SIDEARM	Pistol, for example
SIDESTEP	Duck
SIESTAS	Barcelona breaks
SIESTAS	Midday breaks
SIFT	Examine carefully
SIG	Email ID
SIGMA	Arithmetic series symbol
SIGNET	Official seal
SIGNOUT	Go off the clock
SIKH	Turbaned believer
SILO	Feed store
SILOS	Towers over the field
SILVERBELLBOTTOMS	...and this shiny retro wear?
SILVERSTREAK	1976 comedy film, and a description of this puzzle's center
SIMPLYRED	& 38-Down: Profitable/unprofitable musical groups?
SIN	Sloth, for one
SINE	Triangle ratio
SING	Do a number
SINGER	Numbers whiz?
SINGSINGPRISON	It held Lucky Luciano
SINGSONG	Like sounds suggested by 69-Across
SINK	Drop in the ocean
SINN	___ Fein
SINS	Deadly septet
SINUSES	Holes in the head
SIOUXUPRISING	1862 conflict in Minnesota
SIP	Tentative taste
SIPS	Tentative tastes
SIR	Waiter-to-patron address
SIRES	Fathers
SIS	Spanish ayes
SIS	What each of this puzzle's longest entries has two of
SISI	Absolutely! in Acapulco
SISSIFIED	What Arnold isn't
SISSY	Loretta's portrayer in film
SISTINE	Chapel with a famous ceiling
SITES	Spots
SITS	Goes unused
SITS	Joins a jury
SITS	Joins a jury
SITSBY	Takes no action
SITU	In ___ (where found)
SITUP	Tummy toughener
SITUPS	Cousins of crunches
SIXAM	Wake-up time for some
SIZED	Did some tailoring
SKA	Reggae relative
SKATE	Do axels and lutzes
SKATE	Make a nice round figure, say
SKED	Timetable, for short
SKEET	Ulrich of "Jericho"
SKI	Move among moguls
SKIER	One among the moguls
SKIMPS	Cuts corners
SKINFLINTS	Misers
SKINHEAD	Stereotypical neo-Nazi
SKINK	Long-tailed lizard
SKIPROPE	Train for a fight
SKIRTS	Sidesteps
SKOAL	Alternative to "cheers!"
SKYBES	Seating for fat cats
SKYDOME	Former name of Rogers Centre
SLACKS	Dockers, e.g.
SLAKE	Quench
SLALOM	Winding course
SLALOMS	Races with gates
SLAM	Bridge accomplishment
SLAM	Insult, informally
SLANGY	Loose, linguistically
SLANT	Viewpoint
SLANTS	Points of view
SLANTS	Viewpoints
SLAP	Cuff
SLAP	Sharp rebuke
SLAPON	Apply hastily, as paint
SLASHED	Reduced significantly
SLATSHAKER	Person dusting the Venetian blinds?
SLATY	Like an overcast sky
SLAW	Diner side
SLAY	Have rolling in the aisles
SLED	Coaster
SLED	It'll take you down
SLED	It's carried by runners
SLEDS	Downhill racers
SLEEPER	Unexpected hit
SLEEPINGGASBAG	Braggart in bed?
SLEEPON	Consider overnight
SLEET	Winter fall
SLEEVE	Record holder
SLEIGHT	Craftiness
SLEW	Bunch
SLEW	Whole passel
SLIDERS	Breaking balls
SLIDOUT	Opened, as a drawer
SLIM	Willowy
SLIME	Snail trail
SLIMED	Like Bill Murray in a memorable "Ghostbusters" scene
SLIPPED	LINGERIE...
SLO	School-zone caution
SLO	___-pitch
SLOANE	Everett of "Citizen Kane"
SLOB	Neatnik's bane
SLOBS	Ones in need of housekeepers
SLOT	Place on the schedule
SLOT	Screw feature
SLOTHS	Tree branch hangers-on
SLOWEATER	Last to leave the table
SLPON	Apply hurriedly
SLR	35mm camera type
SLR	Camera inits.
SLT	Blind part
SLUGABED	Lazybones
SLY	Full of tricks
SLY	Hard to catch
SLYER	More devious
SMALLPOTATOES	Nothing much, to chip makers?
SMART	Dapper
SMARTED	Hurt
SMCH	Buss
SMEAR	Microscope sample
SMEAR	Staple of political dirty tricks
SMEAR	Sully the name of
SMEE	Hook helper
SMEE	Hook's helper
SMEE	Spectacled bo's'n of fiction
SMEE	Spectacled pirate of fiction
SMOGS	Suffocating blankets
SMOKEDSALMON	Bagel topper
SMOOTHIE	Blended beverage
SMORE	Camping snack
SMOTE	Whacked, Bible-style
SMOTHERSWITHONIONS	Dresses up, as a hamburger
SMTHED	Polished
SMU	Home of the Mustangs
SNAILING	Seeking escargots
SNAKED	Didn't go straight
SNAKES	They have sliding scales
SNAKIER	More sinuous
SNAPDRAGON	Foxglove cousin
SNARLS	Rush hour problems
SNEER	Mocking expression
SNEER	Snobbish response
SNERD	Bergen dummy
SNEVA	1983 Indy 500 winner Tom
SNIP	Salon sound
SNIPE	Marsh bird
SNIPING	Taking potshots
SNITCH	Golden ball in a quidditch game
SNL	Comedy show letters
SNOOK	Rude gesture
SNOOK	Rude gesture
SNOOP	Be a busybody
SNOPES	Fictional Faulkner clan
SNORT	Quick shot
SNORT	Scornful sound
SNORTS	Sounds of derision
SNOW	Bush White House press secretary
SNUB	Slight
SNUG	Cozy
SOAK	Take to the cleaners
SOANDSO	Dirty rat
SOAPIER	Filled with more melodrama
SOAPONAROPE	Present eagerly anticipated...NOT!
SOAPS	Daytime viewing
SOAR	Ascend dramatically
SOAR	Go sky-high
SOAR	Go to great heights
SOAR	Hang-glide, say
SOB	Distraught sound
SOBSTORY	Tale of woe
SOCA	Caribbean dance music
SOCCERMOMA	Site for sports paintings?
SODAS	What jerks are good for
SOFA	21-Across, for example
SOFA	Coin collector?
SOFA	Remote location?
SOFTTOP	Convertible
SOHO	Little Italy neighbor
SOIR	Evening, to Yves
SOIREE	Evening do
SOLE	Exclusive
SOLE	Exclusive
SOLE	Pump part
SOLETRAIN	Dance show that's a little fishy?
SOLO	Unaccompanied
SOLS	Scale notes
SOLTI	Longtime Chicago Symphony maestro
SOMAS	Organisms' bodies
SOME	Two or more
SOME	Unspecified amount
SOMENERVE	Dentist's excited comment?
SON	Henry VIII's desire
SON	Icarus, to Daedalus
SONAR	Mine finder
SONAR	Ping producer
SONARS	Sub systems
SONATAS	Output of both Haydn and Hyundai
SONIA	Braga of "Moon Over Parador"
SONO	Prefix with buoy or gram
SONSTABLES	Furniture that's been passed down?
SOO	Great Lakes' ___ Canals
SOON	By and by
SOON	Directly
SOON	Directly
SOONERS	University of Oklahoma team
SOOTHE	Allay
SOOTY	Like Santa after a delivery
SOP	Conciliatory gift
SOPHISM	Specious argument
SOPS	Conciliatory gestures
SOPS	Gets the last of the gravy
SORBET	Häagen-Dazs offering
SORBETS	Häagen-Dazs offering
SORER	Less pleased
SORT	Database command
SORTA	A bit, colloquially
SOS	Flashed message
SOS	Message in a bottle?
SOSA	1998 National League MVP
SOSO	Indifferent
SOSOON	Already?
SOSUEME	My mistake--big deal!
SOT	Lush
SOT	Stewed dude
SOU	Trifling amount
SOUPUP	Make more powerful
SOUR	Turned
SOURALE	Belgian brew
SOUREDON	Became disenchanted with
SOURS	Makes acrimonious
SOUSA	March man
SOW	Plant
SOYA	Alternative milk source
SPA	Aromatherapy setting
SPA	Destination for the pampered
SPA	Masseur's workplace
SPA	Soda fountain, in New England
SPA	Where you may find a sweater
SPACECAMP	Destination for would-be astronauts
SPAN	Bridge
SPAN	Reach across
SPAN	Traverse
SPAR	Wrangle
SPARE	Elegantly simple
SPAREME	I don't want to know the details
SPARINGPARTNER	Reasonably good teammate on a bowling team?
SPARSE	Like the outback population
SPAS	Places for the pampered
SPATES	Floods
SPAWN	Give rise to
SPECIALPROSECUTORS	...and the case against me was presented by some very ___
SPECLOPS	Delta Force missions
SPECS	Contractor's info
SPECTATE	Watch from the bleachers
SPECTER	See 77-Across
SPED	Had a heavy foot
SPEE	Germany's Graf ___
SPEE	World War I German count
SPEEDCOP	Highway patroller
SPEEDUP	Expedite
SPELLINGBETTE	Giving the Divine Miss M a break?
SPEW	Emit expletives
SPICA	Bright star in Virgo
SPICES	Chef's array
SPIDER	Amex investment
SPIEL	Pitch
SPILE	Sap spigot
SPILL	Biking mishap
SPINMEISTERS	Music magazine editors?
SPINS	Quick drives
SPIRAL	Inflation course
SPIRO	Tricky Dick's veep
SPITED	Treated with malice
SPITSAT	Shows contempt for
SPIVAK	Meet the Press co-founder Lawrence
SPOILS	Plundered wealth
SPOON	Setting piece
SPOON	Sundae eater's need
SPORT	Wear
SPOT	Tough situation
SPOUTS	Oilcan parts
SPRAT	Jack, the picky eater
SPRAT	Young herring
SPRAWLS	Takes the whole couch, say
SPREES	Jags
SPROUT	Professor of herbology at Hogwarts
SPRUCED	Smartened (up)
SPRY	Moving well
SPUMES	Froths
SPURT	Burst of energy
SPYS	1974 Gould/Sutherland comedy
SRI	Hindu honorific
SRI	Indian honorific
SRTA	Mex. miss
SSA	Nine-digit no. issuer
SSE	Atlanta-to-Tampa dir.
SSE	Cleveland-to-Akron dir.
SSE	Cleveland-to-Canton dir.
SSE	Toronto-to-D.C. heading
SSI	Govt.-issued funds
SSNS	Data for HR managers
SSNS	IRS IDs
SSNS	IRS IDs
SSS	Barbecue sound
SSS	Draft org.
SST	One-time JFK lander
SST	Sleek flier
SSTS	Mach 1 toppers
SSTS	Sleek fliers
SSW	MA-to-PA heading
STA	RR stop
STA	RR stop
STAB	Run through
STABS	Shots in the dark
STACK	Pancake batch
STACK	Pancake order
STADIA	Old arenas
STAE	Play station?
STAFF	Office team
STAFFOFLIFE	Photo magazine editors?
STAG	Like bachelor parties
STAG	Unaccompanied
STAGES	Show places
STAGS	Antlered animals
STAHL	60 Minutes reporter since 1991
STAHL	Colleague of Kroft and Pelley
STAIN	It gets taken to the cleaners
STAIN	Tide target
STAIRS	They might take you down
STALA	Hogan's Heroes setting
STALLER	User of delaying tactics
STAMENS	Pollen producers
STAMMER	Speaker's problem
STAMOS	John of "ER"
STAN	South Park kid
STAN	Lee of Spider-Man fame
STAN	Ollie's chum
STAN	Ollie's partner
STANCE	Golf lesson topic
STAND	Blackjack option
STANDARDENGLISHMUFFIN	Conventional breakfast choice?
STANDTRIAL	Face the people
STAPLE	Playboy centerfold feature until 1985
STAR	Heineken bottle symbol
STAR	Texaco symbol
STARDATE	Captain's log heading
STARE	Get a good look
STARGAZER	Impractical idealist
STARINGROLES	What eyes have?
STARRY	Like van Gogh's night
START	Kick off
STARTUPS	Recipients of venture capital
STASH	Secret supply
STASI	East German secret police
STATE	Rice's department
STATIONOUTBREAKS	Flu epidemics traced to redcaps?
STATS	Ballpark figures
STATUS	Cachet
STAY	Canine command
STAY	Lab stopper?
STAYAT	Get lodgings in
STD	No. to measure against
STD	Norm: Abbr.
STE	Fr. holy woman
STE	Fr. holy woman
STE	__-Foy, Quebec
STEAK	Prime purchase
STEAL	Appropriate inappropriately
STEED	Spirited mount
STEELED	Filled with determination
STEEP	Exorbitant
STEIN	Rathskeller vessel
STELE	Stone marker
STELL	Minimalist painter Frank
STEM	Cordial glass part
STEM	Put a stop to
STEN	Tommy gun's cousin
STENOS	Dictators' underlings
STENS	Submachine guns of World War II
STEP	Part of a flight
STEPPE	Russian plain
STEREO	iPod output
STEREOS	Sound investments?
STERILE	Germ-free
STERNER	More forbidding
STEROL	Waxy organic compound
STET	Leave in the copy
STEVENS	Supreme Court justice since 1975
STEVES	Jobs and others
STEW	Worry obsessively
STEYN	America Alone author Mark
STIES	Confiners of Circe's victims
STIES	Hog holders
STILE	Fence-crossing aid
STILL	Provider of proof?
STILL	Undisturbed
STILTON	Blue-veined cheese
STINE	Goosebumps writer
STINKS	Is despicable
STINT	Bit of work
STINT	Hitch
STINT	Piece of work found in this puzzle's longer entries
STIR	Show signs of life
STIR	Show signs of life
STIR	To-do
STIRFRY	Wok preparation
STIRUP	Incite
STIVES	1976 Charles Bronson thriller
STLO	Town nearly destroyed in the Battle of Normandy
STMARY	Common church namesake
STN	Penn in NYC, e.g.
STOA	Covered walkway
STOA	Greek colonnade
STOAT	Brown fur source
STOATS	Summer ermines
STOLAF	College in Northfield, Minn.
STOLE	Took the wrong way
STOMP	Rhythmic jazz composition
STONE	Wall Street director
STONEAGE	Barney and Fred's time
STOOD	Greeted the judge
STOODIN	Performed as an understudy
STOOPEDTO	Went as far as
STOP	Kind of order
STOPANDGO	Like some traffic
STORY	Novel idea
STOVE	Hot spot
STOW	Put on board
STOWE	Simon Legree's creator
STP	Longtime Richard Petty sponsor
STP	NASCAR sponsor
STPATS	Big Apple cathedral, familiarly
STPETE	Home to the D-Rays
STR	Narrow waterway: Abbr.
STRAP	Bridle part
STRENGTHS	Long suits
STRIA	Minute groove
STRIDES	Major steps
STRIPLINGS	Youths
STROBES	Flashing lights
STRODE	Took steps
STRUM	Play chords, possibly
STRUT	Swagger
STS	Ave. crossers
STS	Peter, Paul and Mary: Abbr.
STSIMON	Apostle called "the Zealot"
STU	Cook of Creedence Clearwater Revival
STUB	Proof of admission
STUBS	Check mates
STUD	Dealer's choice
STUFF	Sister magazine of Maxim
STUN	Beat in an upset
STY	Dirty digs
STY	Kid's room, often
STYLE	Elle topic
STYLINGMOOSE	Wild guy with a hair care show?
STYRON	The Confessions of Nat Turner author
SUB	Deli order
SUBBED	Filled in
SUBITO	Abruptly, in a score
SUBSET	Circle within a circle, in a Venn diagram
SUCRE	Ecuadorean currency replaced by the U.S. dollar in 2000
SUCRE	Judicial capital of Bolivia
SUE	Drag into court
SUEBEE	Honey brand
SUEME	Dismissive reply to a complaint
SUEME	Sarcastic challenge
SUER	Certain plaintiff, at law
SUES	Hires an ambulance chaser
SUGARSUBSTITUTE	=
SUI	Designer Anna
SUIT	Exec, slangily
SULLY	Besmirch
SULTANS	Harem keepers
SULTANS	Ottoman bigwigs
SUM	Bottom-line number
SUMO	Big guys' sport
SUNHAT	Big-brimmed bonnet
SUNLIT	Naturally bright
SUP	Eat late
SUP	Eat late
SUPE	Apartment worker, familiarly
SUPE	Apartment worker, familiarly
SUPER	Terrif!
SUPERIORCOURTS	...and they sent my case to what were clearly the ___
SURER	Less speculative
SURFACE	Become apparent
SURGICAL	Quite precise
SURIMI	Paste used to imitate crabmeat
SUSAN	Teri's "Desperate Housewives" role
SUSHI	Bar buy
SUSTAINS	Gives strength to
SWAG	Convention freebies
SWAMI	Pundit
SWAMPS	Everglades makeup
SWAT	Quick hit
SWAT	Quick hit
SWAY	Influence
SWE	Fin. neighbor
SWEARWORD	****, for one
SWEDE	Any member of ABBA
SWEEPUNDERTHERUG	Solve a problem by concealment
SWEETAS	Comparable to apple cider, in a song
SWELTER	Suffer in the heat
SWISS	Deli choice
SWOREONTHEBIBLE	Took an oath*
SYMBOLS	Ticker items
SYMPTOM	Indicator
SYNC	Harmony
SYNCHRO	Happening simultaneously, in combinations
SYNE	Last word of a seasonal song
SYNTAX	Grammar class subject
SYNTAX	Grammarian's concern
SYR	Isr. neighbor
SYR	Leb. neighbor
SYS	Procedure: Abbr.
TABLE	Postpone for the time being
TABLOIDMAGAZINE	[STAR]
TABOO	Not to be done
TABRIZ	Home to Iran's Blue Mosque
TABU	Perfume brand since 1932
TABULA	___ rasa
TAC	Middle X or O, perhaps
TAC	Middle of a game
TACH	Dash dial
TACIT	Suggested
TACKLER	Rusher's foe
TAD	Abe's boy
TAD	Young 'un
TADA	...and here it is!
TADA	Cousin of "voila!"
TAE	___ kwon do
TAFT	Last president to sport a mustache
TAG	Graffiti signature
TAG	Graffiti signature
TAHITI	1788 stop for the Bounty
TAHITI	Gauguin's adopted home
TAHOE	Lake whose name means "big water"
TAIL	Cow's fly swatter
TAIL	Follow
TAIL	Follow
TAIL	Shadow
TAILS	Toss choice
TAINA	2001 Nickelodeon sitcom
TAINTS	Besmirches
TAKE	Box office total
TAKEITONTHECHINA	How do I get this food to the table? response?
TAKEPART	Join in
